# Glacier state and evolution data; Corbassière; 38
#   name; date; volume; area; length; h_max; h_min; dV; dh_mean; dl
#
1934  1934-09-01  NaN  19.388145  NaN  4317.3  2005.4    0.00        0.0   NaN
1983  1983-09-07  NaN  19.498960  NaN  4312.1  2180.7   -0.086011   -4.26  NaN
1998  1998-08-31  NaN  18.559330  NaN  4316.4  2199.9   -0.127719   -6.52  NaN
2003  2003-08-02  NaN  18.514583  NaN  4310.0  2204.4   -0.024954   -1.33  NaN
2008  2008-08-29  NaN  18.202454  NaN  4312.6  2234.9   -0.093029   -4.97  NaN
2013  2013-08-21  NaN  17.517860  NaN  4319.5  2309.0   -0.078336   -4.26  NaN
