gid,pk,pk_vaw,pk_sgi,name_full,name_short
1082,e34efaba-7a05-11ec-90d6-0242ac120003,NULL,A55a-22,Bim Telli S,
1083,e64bd5f8-7a05-11ec-90d6-0242ac120003,332,E13-01,Piz Quatervals,quatervals
1084,e64bd706-7a05-11ec-90d6-0242ac120003,333,E13-03,Piz Esen,esen
1085,e64bf9e8-7a05-11ec-90d6-0242ac120003,319,E15-06,Vadret Languard,languard
1086,e34efbdc-7a05-11ec-90d6-0242ac120003,NULL,A55a-23,Büttlassasattel,
1087,df0a7e02-7a05-11ec-90d6-0242ac120003,NULL,A14l-29,Muota,
1088,df0a7f38-7a05-11ec-90d6-0242ac120003,NULL,A14l-30,Muota Cavrein,
1089,8180d58f-4ec8-11e8-bf28-985fd331b2ee,NULL,A14m-01,Falluns,
1090,df0a828a-7a05-11ec-90d6-0242ac120003,NULL,A14n-01,Piz Dadens,
1091,df0a8e2e-7a05-11ec-90d6-0242ac120003,NULL,A14n-07,Cavorgia da Vuors,
1092,df0a83a2-7a05-11ec-90d6-0242ac120003,NULL,A14n-16,Muttenbergen N,
1093,df0a84c4-7a05-11ec-90d6-0242ac120003,NULL,A14n-17,Muttenbergen S,
1094,8184a621-4ec8-11e8-8edd-985fd331b2ee,NULL,A14m-04,Fuorcla Punteglias,
1095,df0a860e-7a05-11ec-90d6-0242ac120003,NULL,A14n-19,Hausstock,
1096,df0a88d4-7a05-11ec-90d6-0242ac120003,NULL,A14n-20,Chli Rucha,
1097,df0a8b18-7a05-11ec-90d6-0242ac120003,NULL,A14n-22,Crappa Grossa,
1098,df0a8c1c-7a05-11ec-90d6-0242ac120003,NULL,A14n-23,Falla Lenn,
1099,df0a8f50-7a05-11ec-90d6-0242ac120003,NULL,A14o-02,Bündner Vorab,
1100,8181e700-4ec8-11e8-aae4-985fd331b2ee,NULL,A14m-05,Piz Urlaun S,
1101,818430f0-4ec8-11e8-8cfa-985fd331b2ee,NULL,A14m-06,Piz Urlaun E,
1102,df0a918a-7a05-11ec-90d6-0242ac120003,NULL,A14p-11,Vorder Ringel,
1103,bb1dd434-74a9-11ea-bc55-0242ac130003,NULL,A14m-07,Punteglias E,
1104,bb1da7ac-74a9-11ea-bc55-0242ac130003,NULL,A14m-08,Punteglias N,
1105,818f2d70-4ec8-11e8-9a13-985fd331b2ee,NULL,A14m-12,Tumpiv S ,
